option,implementation,n,block_size,threads,runs,time_s_avg,gflops_avg,joules_avg,watts_avg,speedup,efficiency
3,openmp,7168,64,16,3,8.674483333333333,28.312300000000004,326.49742800000007,37.641153,13.306229573711404,0.8316393483569627
3,openmp,8192,64,4,3,19.1522,19.1402,690.7374366666667,36.065922666666665,8.73883940226188,2.18470985056547
3,openmp,8192,64,8,3,12.168999999999999,30.14766666666667,450.10907233333336,36.98792866666667,13.753636288930888,1.719204536116361
3,openmp,8192,64,16,3,12.556566666666667,29.425666666666668,463.0649253333333,36.923198666666664,13.3291212831533,0.8330700801970813
5,sycl_basic,1024,32,,3,0.12401803333333333,11.32868,3.050409666666667,25.294304666666665,0.7964406251671464,
5,sycl_basic,1024,64,,3,0.045544400000000006,15.717133333333335,1.212146,26.614767,2.1687188765248853,
5,sycl_basic,1024,128,,3,0.045701266666666664,15.6637,1.222003,26.740019999999998,2.1612748880775006,
5,sycl_basic,2048,32,,3,0.2940236666666667,19.4776,6.4567483333333335,21.96828933333333,6.659441246793059,
5,sycl_basic,2048,64,,3,0.29339699999999996,19.518366666666665,6.270687333333332,21.372826,6.673665147678176,
5,sycl_basic,2048,128,,3,0.29338366666666665,19.519233333333332,6.366741333333334,21.701750333333333,6.673968444051079,
5,sycl_basic,3072,32,,3,0.9562243333333335,20.212166666666665,18.940279,19.807738333333333,7.9389634161858105,
5,sycl_basic,3072,64,,3,0.9559923333333332,20.217066666666668,18.293289333333334,19.135425333333334,7.940890042005219,
5,sycl_basic,3072,128,,3,0.9566560000000001,20.203033333333334,18.27217733333333,19.10016366666667,7.935381161044304,
5,sycl_basic,4096,32,,3,2.232956666666667,20.516733333333335,40.63860466666666,18.199521999999998,8.503120675576625,
5,sycl_basic,4096,64,,3,2.2335566666666664,20.511233333333333,40.384035000000004,18.080558666666665,8.500836483515828,
5,sycl_basic,4096,128,,3,2.2334799999999997,20.511933333333335,39.563159999999996,17.713697666666665,8.501128284112685,
5,sycl_basic,5120,32,,3,4.334366666666667,20.643966666666667,76.87793166666667,17.73685933333333,9.349847344094869,
5,sycl_basic,5120,64,,3,4.334463333333333,20.6435,77.580623,17.898472666666667,9.34963882495257,
5,sycl_basic,5120,128,,3,4.334753333333333,20.6421,74.59908300000001,17.209512666666665,9.349013323326357,
5,sycl_basic,6144,32,,3,7.456146666666666,20.7371,128.97142333333332,17.297320666666668,9.380046172196185,
5,sycl_basic,6144,64,,3,7.456283333333334,20.736733333333333,127.87523799999998,17.150004,9.379874244764483,
5,sycl_basic,6144,128,,3,7.456869999999999,20.735066666666665,129.19423600000002,17.325517333333334,9.379136286404352,
